,address,coordinates
0,"5126 W Daybreak Pkwy, South Jordan, UT 84009, USA","40.54174387,-112.0133527"
1,"1801 N Oregon St, El Paso, TX 79902, USA","31.76983587,-106.4990756"
2,"800 Hospital Dr, Columbia, MO 65201, USA","38.93666726,-92.32905785"
3,"503 Farrell Dr, Covington, KY 41011, USA","39.04960905,-84.5293474"
4,"3900 Loch Raven Blvd, Baltimore, MD 21218, USA","39.336341,-76.595699"
5,"110 E Baker St Ste A, Indianola, MS 38751, USA","33.45751995,-90.65019353"
6,"1223 Market Ave N, Canton, OH 44714, USA","40.80995371,-81.37244027"
7,"1101 Weber Rd, Farmington, MO 63640, USA","37.80025437,-90.43988609"
8,"1701 Sharp Rd, Waterford, WI 53185, USA","42.7377563,-88.16797973"
9,"5903 Ridgewood Rd # 430, Jackson, MS 39211, USA","32.38977004,-90.14337561"
10,"1901 US-87 BUS, Big Spring, TX 79720, USA","32.27052408,-101.4979116"
11,"Arbor Health, Morton Clinic, 531 Adams Ave, Morton, WA 98356, USA","46.55567481,-122.2803544"
12,"367 Hospital Blvd, Jackson, TN 38305, USA","35.68444711,-88.85404848"
13,"630 State Hwy 71, Bastrop, TX 78602, USA","30.10848029,-97.34475731"
14,"41OR, 161 Hospital Dr, McKenzie, TN 38201, USA","36.13742735,-88.48936033"
15,"4401 Penn Ave, Pittsburgh, PA 15224, USA","40.46652874,-79.95299037"
16,"200 N Stadium Dr, Seymour, TX 76380, USA","33.59017066,-99.24869746"
17,"5360 Linton Blvd, Delray Beach, FL 33484, USA","26.4366253,-80.12847349"
18,"105 Reserve St, Hot Springs, AR 71901, USA","34.51212501,-93.05260787"
19,"4000 Coliseum Dr #345, Hampton, VA 23666, USA","37.05729223,-76.39033356"
20,"2401 S 31st St, Temple, TX 76508, USA","31.07744745,-97.36344799"
21,"2102 University Park Blvd, Colorado Springs, CO 80918, USA","38.91071383,-104.7897384"
22,"1821 Clifton Rd, Atlanta, GA 30329, USA","33.80487845,-84.33140996"
23,"3710 SW US Veterans Hospital Rd, Portland, OR 97239, USA","45.49718109,-122.6839782"
24,"6262 S Sheridan Rd, Tulsa, OK 74133, USA","36.07290864,-95.90553001"
25,"22003 Southwest Fwy, Richmond, TX 77469, USA","29.55515331,-95.71392609"
26,"4401 Penn Ave, Pittsburgh, PA 15224, USA","40.4675656,-79.9531074"
27,"604 Gallatin Ave Suite 206, Nashville, TN 37206, USA","36.1829242,-86.749573"
28,"111 US-70E, Dickson, TN 37055, USA","36.07330617,-87.37572716"
29,"74 Kimballs Ln Suite 260, Draper, UT 84020, USA","40.53605987,-111.8891261"
30,"2669 Kinard St, Newberry, SC 29108, USA","34.29042835,-81.60642342"
31,"2075 Glenn Mitchell Dr #300, Virginia Beach, VA 23456, USA","36.77521823,-76.09801829"
32,"GGHF+5C Fenton, MO, USA","38.52792366,-90.47641436"
33,"6700 I-10, San Antonio, TX 78201, USA","29.48986399,-98.54757258"
34,"400 Hospital Rd, Starkville, MS 39759, USA","33.47617386,-88.82060544"
35,"2018 Clinch Ave, Knoxville, TN 37916, USA","35.95628817,-83.93767478"
36,"1 Springback Way, Anderson, SC 29621, USA","34.53774139,-82.62803267"
37,"1519 Main St, Sneedville, TN 37869, USA","36.53333298,-83.21510814"
38,"239 Bowling Green Rd, Lexington, MS 39095, USA","33.11168955,-90.03073131"
39,"1600 N Kniss Ave, Luverne, MN 56156, USA","43.67200224,-96.21058073"
40,"736 N Battlefield Blvd, Chesapeake, VA 23320, USA","36.74550925,-76.24603947"
41,"37822 US-18, Prairie du Chien, WI 53821, USA","43.02187305,-91.11312718"
42,"7691 Poplar Ave, Germantown, TN 38138, USA","35.09008241,-89.80837468"
43,"27700 US-290 Suite 330, Cypress, TX 77433, USA","29.9864345,-95.7322858"
44,"301 Spring Garden Rd, Hammonton, NJ 08037, USA","39.68107392,-74.86248752"
45,"350 Fisher Rd, Berlin, VT 05602, USA","44.222624,-72.564716"
46,"2114 N Veterans Blvd, Eagle Pass, TX 78852, USA","28.7204202,-100.4759701"
47,"150 New Providence Rd, Mountainside, NJ 07092, USA","40.6697668,-74.3539099"
48,"1600 N Chestnut Ave, Marshfield, WI 54449, USA","44.68234448,-90.1658003"
49,"12606 E Mission Ave, Spokane Valley, WA 99216, USA","47.67076432,-117.2354709"
50,"44 N Cummings St, Bellville, TX 77418, USA","29.95315813,-96.26009777"
51,"10133 I-10, Baytown, TX 77521, USA","29.8221352,-94.9029286"
52,"1481 W 10th St, Indianapolis, IN 46202, USA","39.77846306,-86.18716442"
53,"116 Medical Park Lane, Huntsville, TX 77340, USA","30.69854999,-95.55898696"
